,periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
3,202401,1,2024-01-24,DKI3 Jagakarsa,46.0,65.0,46.0,8.0,9.0,38.0,65.0,PM25,SEDANG
4,202401,1,2024-01-25,DKI3 Jagakarsa,37.0,55.0,47.0,7.0,11.0,28.0,55.0,PM25,SEDANG
5,202401,1,2024-01-26,DKI3 Jagakarsa,43.0,62.0,50.0,7.0,15.0,14.0,62.0,PM25,SEDANG
6,202401,1,2024-01-27,DKI3 Jagakarsa,40.0,52.0,48.0,8.0,12.0,10.0,52.0,PM25,SEDANG
7,202401,1,2024-01-28,DKI3 Jagakarsa,40.0,62.0,48.0,12.0,12.0,18.0,62.0,PM25,SEDANG
8,202401,1,2024-01-29,DKI3 Jagakarsa,33.0,44.0,47.0,14.0,12.0,24.0,47.0,SO2,BAIK
9,202401,1,2024-01-30,DKI3 Jagakarsa,58.0,46.0,48.0,22.0,12.0,33.0,58.0,PM10,SEDANG
10,202401,1,2024-01-31,DKI3 Jagakarsa,37.0,47.0,7.0,26.0,17.0,17.0,47.0,PM25,BAIK
11,202401,1,2024-01-09,DKI2 Kelapa Gading,51.0,68.0,58.0,16.0,18.0,53.0,68.0,PM25,SEDANG
12,202401,1,2024-01-10,DKI2 Kelapa Gading,56.0,77.0,61.0,11.0,31.0,43.0,77.0,PM25,SEDANG
13,202401,1,2024-01-11,DKI2 Kelapa Gading,44.0,54.0,56.0,11.0,19.0,27.0,56.0,SO2,SEDANG
14,202401,1,2024-01-12,DKI2 Kelapa Gading,27.0,39.0,57.0,11.0,14.0,52.0,57.0,SO2,SEDANG
15,202401,1,2024-01-13,DKI2 Kelapa Gading,35.0,54.0,57.0,10.0,16.0,28.0,57.0,SO2,SEDANG
16,202401,1,2024-01-14,DKI2 Kelapa Gading,37.0,51.0,57.0,8.0,16.0,22.0,57.0,SO2,SEDANG
17,202401,1,2024-01-15,DKI2 Kelapa Gading,52.0,67.0,58.0,12.0,14.0,32.0,67.0,PM25,SEDANG
18,202401,1,2024-01-01,DKI1 Bundaran Hotel Indonesia (HI),64.0,89.0,52.0,9.0,13.0,30.0,89.0,PM25,SEDANG
19,202401,1,2024-01-02,DKI1 Bundaran Hotel Indonesia (HI),53.0,93.0,52.0,4.0,12.0,28.0,93.0,PM25,SEDANG
20,202401,1,2024-01-03,DKI1 Bundaran Hotel Indonesia (HI),52.0,57.0,52.0,6.0,12.0,27.0,57.0,PM25,SEDANG
22,202401,1,2024-01-05,DKI1 Bundaran Hotel Indonesia (HI),22.0,54.0,46.0,15.0,24.0,44.0,54.0,PM25,SEDANG
23,202401,1,2024-01-06,DKI1 Bundaran Hotel Indonesia (HI),49.0,68.0,46.0,12.0,38.0,36.0,68.0,PM25,SEDANG
24,202401,1,2024-01-07,DKI1 Bundaran Hotel Indonesia (HI),52.0,77.0,45.0,14.0,34.0,44.0,77.0,PM25,SEDANG
25,202401,1,2024-01-08,DKI1 Bundaran Hotel Indonesia (HI),49.0,52.0,46.0,10.0,27.0,32.0,52.0,PM25,SEDANG
26,202401,1,2024-01-09,DKI1 Bundaran Hotel Indonesia (HI),50.0,62.0,48.0,13.0,25.0,31.0,62.0,PM25,SEDANG
